Icon Type,OPS Icon Class,In Our FA?,Replacement Icon Name,Replacement Link,Notes
OPS FA,fa-question-circle,No,(Custom SVG Extracted),extracted-svgs/ops-fa-question-circle-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-question-square,No,(Custom SVG Extracted),extracted-svgs/ops-fa-question-square-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-rocket,No,(Custom SVG Extracted),extracted-svgs/ops-fa-rocket-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-search,No,(Custom SVG Extracted),extracted-svgs/ops-fa-search-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-shopping-cart,No,(Custom SVG Extracted),extracted-svgs/ops-fa-shopping-cart-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-sitemap,No,(Custom SVG Extracted),extracted-svgs/ops-fa-sitemap-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-spinner,No,(Custom SVG Extracted),extracted-svgs/ops-fa-spinner-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-star,No,(Custom SVG Extracted),extracted-svgs/ops-fa-star-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-sticky-note,No,(Custom SVG Extracted),extracted-svgs/ops-fa-sticky-note-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-store,No,(Custom SVG Extracted),extracted-svgs/ops-fa-store-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-sync,No,(Custom SVG Extracted),extracted-svgs/ops-fa-sync-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-sync-alt,No,(Custom SVG Extracted),extracted-svgs/ops-fa-sync-alt-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-table-cells-large,No,(Custom SVG Extracted),extracted-svgs/ops-fa-table-cells-large-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-table-columns,No,(Custom SVG Extracted),extracted-svgs/ops-fa-table-columns-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
OPS FA,fa-tags,No,(Custom SVG Extracted),extracted-svgs/ops-fa-tags-bold.svg,"All 3 styles extracted: -bold (filled), -line (outline), and -light (lightweight)."
